,RSS,adjKey,adjVal,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
69,2.23451,kTSC2Phos,1.5,0.5931770000000001,5.80241,0.10293900000000003,22.9482,72.2769,4.1285,4.81971,99.6211,100.0,0.01,99.1631,69.6333,2.88659,4.53432,0.0121746,100.0,84.7362
70,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
71,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
72,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
73,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
74,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
75,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
76,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
77,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
78,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
