,RSS,AAB,InsulinB,PI3K_T_MCF7,RICTOR_T_MCF7,RPTOR_T_MCF7,kAktByTor2Dephos,kAktByTor2Phos,kAktDephos,kAktPhos_kcat,kFourEBP1Dephos,kFourEBP1Phos,kIRS1Act,kIRS1Inact,kIRS1Phos,kPI3KDephos,kPI3KPhos,kPras40Dephos,kPras40Phos,kRAS,kS6KDephos,kS6KPhos,kTSC2Dephos,kTSC2Phos,kTSC2PhosBoost,kmTORC1Dephos,kmTORC1LysToCyt,kmTORC1Phos,kmTORC1_Dis,kmTORC1cytToLys,kmTORC2Dephos,kmTORC2DephosByS6K,kmTORC2_Dis,kmTOR_RIC_Comb,kmTOR_RPT_Comb,mTOR_T_MCF7
176,0.8507879999999999,0.058757000000000004,0.6253350000000001,0.46833100000000005,0.01,16.3219,32.4838,0.0117626,5.33237,0.583112,30.0926,43.5753,0.10376400000000001,7.846489999999999,100.0,0.416941,0.0480994,0.01,0.01,0.010076799999999999,17.4609,19.3358,6.52838,93.79299999999999,5.26045,42.0332,8.70983,7.4291100000000005,7.3020000000000005,28.2901,99.93700000000001,0.010035700000000002,99.4746,13.3078,18.0044,99.8344
177,0.850877,0.283659,0.631127,0.010391,0.0198745,99.3692,32.6289,0.0440163,2.6701599999999996,0.267652,9.35764,37.1195,0.07016,7.687639999999999,100.0,0.63678,0.04201919999999999,1.6231799999999998,6.11376,0.0298572,40.2983,100.0,9.17563,0.0579903,1.17769,88.7842,0.0711476,26.9097,66.619,2.4232,0.010015999999999999,0.010112000000000001,99.0407,0.0122501,100.0,28.8881
178,0.851044,0.13253199999999998,0.634207,0.18770499999999998,62.8814,86.1519,71.4258,46.8144,0.805283,0.0120414,80.9153,85.7405,0.0104835,37.424,100.0,13.8262,35.8914,0.01,66.2544,0.010112799999999998,65.4454,53.7691,13.0132,4.3954,0.31492600000000004,48.2634,0.0897903,27.14,89.2227,17.2908,99.2283,0.010132299999999999,98.9957,0.0136593,30.8747,83.1127
179,0.8582709999999999,0.536628,0.0428209,0.0407199,0.0536437,5.18511,35.3527,34.1435,0.01,0.0100039,84.4442,18.1673,3.69915,11.2806,60.945,79.5724,0.0100169,0.01,0.010017700000000001,32.8467,1.53745,0.011500299999999998,0.10951500000000002,0.21150500000000003,0.0125196,99.9126,3.7022800000000005,0.0104934,87.9105,0.01,2.10046,0.131064,0.689559,0.0120882,99.9737,4.9156
180,0.858358,0.536316,0.263044,0.470398,12.3213,12.7927,82.6694,34.1346,0.104878,0.0240229,35.6713,0.01,9.52355,39.6283,7.2271,72.8958,0.029093,0.0820023,5.95844,3.88675,15.4694,19.5425,32.1576,1.83634,1.48478,31.393,3.3320300000000005,0.01,100.0,0.01,3.3509300000000004,10.8096,13.5283,1.78985,47.5105,28.8526
181,0.875017,0.317393,0.01,0.01,0.0123489,0.0100051,0.0233781,3.21074,13.2662,0.21229800000000001,0.275924,97.2057,0.0172905,0.0100096,0.010726399999999999,58.9217,0.0442445,0.01,0.0100001,0.163525,0.486993,2.90685,70.3966,60.0065,0.01,8.91245,2.54431,4.66861,7.37229,2.41856,11.8406,0.471308,9.132530000000001,3.09173,80.0,37.943000000000005
182,0.875625,0.6940109999999999,0.01,0.010048,28.3546,1.08159,24.2317,0.717669,7.9093,24.6027,0.139427,0.27783800000000003,0.0100186,0.017795099999999998,0.01,0.0100026,0.0100026,2.74379,0.01,5.94388,5.296130000000001,0.640397,0.0100026,0.26506199999999996,2.9733400000000003,79.4139,0.919417,21.6907,0.0395039,0.08326339999999999,0.16120299999999999,8.85111,0.010912,0.217183,6.6159,62.6524
183,0.9196790000000001,2.06466,0.10404200000000001,1.5580399999999999,3.20453,11.287,2.96294,4.23376,3.37514,41.8007,99.9771,0.130175,6.6609,4.28102,58.5542,99.9735,0.0215304,0.173619,0.0100055,13.0355,6.20734,94.2695,2.43795,99.9768,100.0,12.975,42.1249,16.0547,0.0100004,0.0101569,17.1194,0.010331100000000001,0.10313299999999999,10.2466,8.44764,14.4578
184,0.9197139999999999,1.16375,0.280149,0.8343079999999999,78.6759,31.8488,3.47324,0.200628,2.60712,31.017,97.8954,0.0270842,0.0172514,83.9352,0.382862,65.0727,0.0100013,0.01,0.010000299999999998,13.3908,1.77672,25.2245,0.175753,37.7182,100.0,56.3358,0.0100065,0.9696870000000001,6.722689999999999,0.51463,31.4565,0.252731,2.69639,5.95571,11.9211,24.5652
185,0.9197139999999999,0.49379300000000004,0.301446,0.01,0.444924,12.4085,54.949,37.4103,100.0,100.0,57.7472,0.0780043,0.0100001,30.6223,12.0281,97.648,0.0215851,0.0100001,0.0164808,3.27674,3.9321,11.9311,99.994,0.0541692,17.6416,3.23088,99.8383,23.2199,0.018673500000000003,0.226496,4.7336599999999995,0.0100337,0.568749,0.13963299999999998,0.0100096,7.89946
