,RSS,AAB,InsulinB,PI3K_T_MCF7,PI3K_T_ZR751,RICTOR_T_MCF7,RICTOR_T_ZR751,RPTOR_T_MCF7,RPTOR_T_ZR751,kAktByTor2Dephos,kAktByTor2Phos,kAktDephos,kAktPhos_kcat,kFourEBP1Dephos,kFourEBP1Phos,kIRS1Act,kIRS1Inact,kIRS1Phos,kPI3KDephos,kPI3KPhos,kPras40Dephos,kPras40Phos,kRAS,kS6KDephos,kS6KPhos,kTSC2Dephos,kTSC2Phos,kTSC2PhosBoost,kmTORC1Dephos,kmTORC1LysToCyt,kmTORC1Phos,kmTORC1_Dis,kmTORC1cytToLys,kmTORC2Dephos,kmTORC2DephosByS6K,kmTORC2_Dis,kmTOR_RIC_Comb,kmTOR_RPT_Comb,mTOR_T_MCF7,mTOR_T_ZR751
182,2.29111,0.111788,0.01,6.74564,6.1952300000000005,19.056,14.0039,31.6019,15.1987,1.1381,87.5468,86.5549,14.6163,83.7103,0.0220463,3.05013,0.115549,8.816889999999997,11.9911,0.0108024,0.01,2.91443,8.02098,11.0674,15.0526,99.9987,0.0119604,1.30462,100.0,0.01,0.566396,9.92355,40.1257,22.2295,0.0138381,85.0266,48.6146,7.30952,34.9808,99.9381
183,2.29124,0.168406,0.01,13.5579,12.4602,30.7906,20.404,42.9247,28.0991,0.0778081,67.793,20.5849,0.23990300000000006,80.0547,0.01,17.2286,0.651452,46.5196,99.904,1.2566,0.01,1.50319,3.01065,2.57952,19.1177,96.01,0.0419998,1.30631,19.3812,4.60246,0.0126086,0.0926255,10.5661,14.8723,0.0261941,45.6343,100.0,25.4401,38.7462,27.8527
184,2.29136,0.513188,0.01,83.4985,76.8259,75.3137,91.9847,97.8063,78.3761,0.467563,18.7871,12.4596,7.415189999999999,0.286213,0.80957,63.5056,2.40053,100.0,99.7396,0.0100001,0.01,0.59511,6.42295,13.2504,96.2235,99.9999,0.0742292,1.3008,99.9372,99.9481,3.39202,99.9106,13.4932,81.7798,0.0140115,68.3851,100.0,36.0503,58.7644,62.3868
185,2.29156,0.446361,0.01,15.3844,14.0376,11.4803,41.6341,19.6116,16.79,0.11041199999999997,100.0,97.3949,7.09462,100.0,0.010048,3.3090300000000004,0.128473,100.0,100.0,0.06651900000000001,0.01,4.05415,1.0663,72.4854,0.6941470000000001,59.7402,1.20614,1.31286,99.9926,10.974,23.7502,4.95431,4.33293,99.9987,0.175146,60.381,23.5399,22.265,78.7413,28.5858
186,2.29237,0.65073,0.010144,60.4212,55.0765,26.8172,31.5704,43.9344,42.4539,3.18337,62.2661,98.8992,0.0104226,39.1131,0.08000399999999999,1.07347,0.0422346,99.936,98.9073,0.0100289,0.0105894,0.0828867,15.3316,6.58995,48.691,0.01,0.08199450000000001,0.408108,96.2549,79.2406,0.8226479999999999,3.78119,0.253731,100.0,0.0246672,3.714,59.4438,3.67925,35.1722,33.8252
187,2.29456,0.0100009,0.0100022,63.3477,66.3905,47.0377,54.8943,64.0797,60.7435,4.10609,100.0,99.639,15.2581,37.8955,34.138000000000005,83.3675,2.96071,19.8354,17.5086,0.0100023,0.01,0.463014,16.9599,31.0366,37.2039,0.01,0.013712899999999998,0.01,39.5862,23.551,76.9109,5.32302,21.9059,99.1475,0.01,61.9062,30.8209,55.0273,89.0303,92.6969
188,2.29561,0.34065300000000004,0.0101536,22.419,20.7668,34.3199,40.0771,23.1198,26.445,0.32009,95.584,97.936,0.0206206,98.3306,0.393047,16.2596,0.618804,31.1315,97.3386,0.0133651,0.0456089,0.0416026,1.49423,25.55,29.6789,0.847057,2.23029,1.3045,91.6719,89.0917,60.9611,15.1509,40.0288,99.2,0.0102726,98.0809,8.93909,0.01,99.272,77.4485
189,2.29792,0.0289265,0.21212,10.8667,10.2306,91.1146,18.5712,9.25874,5.97505,97.9016,0.08925989999999999,23.0417,0.07645679999999999,99.9324,0.108347,0.350259,100.0,20.7723,13.4364,0.0104358,99.3532,0.034264800000000005,87.7958,100.0,4.7472,0.0153279,99.6044,100.0,51.8222,14.0234,100.0,0.248241,99.9993,4.06376,0.0140006,41.1996,11.3617,1.22609,21.6954,23.847
190,2.3075900000000003,0.011329700000000002,0.0224966,30.2953,28.524,99.872,31.0876,22.0686,16.354,22.7017,0.0115443,92.8704,4.35345,99.9616,1.19197,24.5498,2.9582200000000003,67.1403,100.0,0.228516,95.8016,0.01,100.0,99.7571,3.19433,0.0975433,99.9936,100.0,45.0194,6.22821,78.0512,0.0202288,100.0,0.01,26.0333,0.01,0.522859,11.4975,59.5591,99.52
191,2.30767,0.240531,0.01,6.49865,6.11503,20.284,16.4093,39.3974,80.5169,99.9866,0.127602,48.7738,17.7075,99.0666,3.66806,52.9449,2.63662,99.9989,100.0,0.13278,99.776,0.06849680000000001,99.9705,37.8383,25.2218,0.0955607,99.9056,99.9905,100.0,11.7333,0.5917140000000001,0.399879,48.4468,0.01,16.5337,0.0100022,100.0,30.248,100.0,46.7645
